2025-11-10 13:56:20 [INFO] [Worker] Inference done | req_id=91 | Time=0.43s
2025-11-10 13:56:20 [INFO] [Worker] Running YOLO inference | req_id=92 | expId=44
2025-11-10 13:56:20 [INFO] [Receiver] Received image | req_id=97 | Queue size=5
2025-11-10 13:56:21 [INFO] [Worker] Inference done | req_id=92 | Time=0.44s
2025-11-10 13:56:21 [INFO] [Worker] Running YOLO inference | req_id=93 | expId=44
2025-11-10 13:56:21 [INFO] [Receiver] Received image | req_id=98 | Queue size=5
2025-11-10 13:56:21 [INFO] [Worker] Inference done | req_id=93 | Time=0.43s
2025-11-10 13:56:21 [INFO] [Worker] Running YOLO inference | req_id=94 | expId=44
2025-11-10 13:56:21 [INFO] [Receiver] Received image | req_id=99 | Queue size=5
2025-11-10 13:56:21 [INFO] [Worker] Inference done | req_id=94 | Time=0.43s
2025-11-10 13:56:21 [INFO] [Worker] Running YOLO inference | req_id=95 | expId=44
2025-11-10 13:56:21 [INFO] [Receiver] Received image | req_id=100 | Queue size=5
2025-11-10 13:56:22 [INFO] [Worker] Inference done | req_id=95 | Time=0.43s
2025-11-10 13:56:22 [INFO] [Worker] Running YOLO inference | req_id=96 | expId=44
2025-11-10 13:56:22 [INFO] [Receiver] Received image | req_id=101 | Queue size=5
2025-11-10 13:56:22 [INFO] [Worker] Inference done | req_id=96 | Time=0.43s
2025-11-10 13:56:22 [INFO] [Worker] Running YOLO inference | req_id=97 | expId=44
2025-11-10 13:56:22 [INFO] [Receiver] Received image | req_id=102 | Queue size=5
2025-11-10 13:56:23 [INFO] [Worker] Inference done | req_id=97 | Time=0.46s
2025-11-10 13:56:23 [INFO] [Worker] Running YOLO inference | req_id=98 | expId=44
2025-11-10 13:56:23 [INFO] [Receiver] Received image | req_id=103 | Queue size=5
2025-11-10 13:56:23 [INFO] [Worker] Inference done | req_id=98 | Time=0.43s
2025-11-10 13:56:23 [INFO] [Worker] Running YOLO inference | req_id=99 | expId=44
2025-11-10 13:56:23 [INFO] [Receiver] Received image | req_id=104 | Queue size=5
2025-11-10 13:56:24 [INFO] [Worker] Inference done | req_id=99 | Time=0.45s
2025-11-10 13:56:24 [INFO] [Worker] Running YOLO inference | req_id=100 | expId=44
2025-11-10 13:56:24 [INFO] [Receiver] Received image | req_id=105 | Queue size=5
2025-11-10 13:56:24 [INFO] [Worker] Inference done | req_id=100 | Time=0.43s
2025-11-10 13:56:24 [INFO] [Worker] Running YOLO inference | req_id=101 | expId=44
2025-11-10 13:56:24 [INFO] [Receiver] Received image | req_id=106 | Queue size=5
2025-11-10 13:56:24 [INFO] [Worker] Inference done | req_id=101 | Time=0.44s
2025-11-10 13:56:24 [INFO] [Worker] Running YOLO inference | req_id=102 | expId=44
2025-11-10 13:56:24 [INFO] [Receiver] Received image | req_id=107 | Queue size=5
2025-11-10 13:56:25 [INFO] [Worker] Inference done | req_id=102 | Time=0.44s
2025-11-10 13:56:25 [INFO] [Worker] Running YOLO inference | req_id=103 | expId=44
2025-11-10 13:56:25 [INFO] [Receiver] Received image | req_id=108 | Queue size=5
2025-11-10 13:56:25 [INFO] [Worker] Inference done | req_id=103 | Time=0.44s
2025-11-10 13:56:25 [INFO] [Worker] Running YOLO inference | req_id=104 | expId=44
2025-11-10 13:56:25 [INFO] [Receiver] Received image | req_id=109 | Queue size=5
2025-11-10 13:56:26 [INFO] [Worker] Inference done | req_id=104 | Time=0.43s
2025-11-10 13:56:26 [INFO] [Worker] Running YOLO inference | req_id=105 | expId=44
2025-11-10 13:56:26 [INFO] [Receiver] Received image | req_id=110 | Queue size=5
2025-11-10 13:56:26 [INFO] [Worker] Inference done | req_id=105 | Time=0.44s
2025-11-10 13:56:26 [INFO] [Worker] Running YOLO inference | req_id=106 | expId=44
2025-11-10 13:56:26 [INFO] [Receiver] Received image | req_id=111 | Queue size=5
